read_time,write_counts,period
1402786140000.0,7.0,660000.0
1402786740000.0,8.0,600000.0
1402787340000.0,4.0,600000.0
1402788120000.0,6.0,780000.0
1402788720000.0,6.0,600000.0
1402789320000.0,10.0,600000.0
1402789920000.0,10.0,600000.0
1402790520000.0,7.0,600000.0
1402791180000.0,8.0,660000.0
1402791900000.0,8.0,720000.0
1402792740000.0,7.0,840000.0
1402793760000.0,7.0,1020000.0
1402794600000.0,8.0,840000.0
1402795320000.0,7.0,720000.0
1402795920000.0,5.0,600000.0
1402796640000.0,8.0,720000.0
1402797600000.0,7.0,960000.0
1402798320000.0,7.0,720000.0
1402799460000.0,9.0,1140000.0
1402800660000.0,6.0,1200000.0
1402801320000.0,6.0,660000.0
1402802520000.0,5.0,1200000.0
1402803840000.0,3.0,1320000.0
1402805340000.0,6.0,1500000.0
1402806180000.0,9.0,840000.0
1402807380000.0,8.0,1200000.0
1402808700000.0,9.0,1320000.0
1402809900000.0,5.0,1200000.0
1402811340000.0,6.0,1440000.0
1402812180000.0,8.0,840000.0
1402812900000.0,9.0,720000.0
1402813500000.0,7.0,600000.0
1402814400000.0,1.0,900000.0
1402815360000.0,6.0,960000.0
1402816200000.0,7.0,840000.0
1402817580000.0,8.0,1380000.0
1402818840000.0,8.0,1260000.0
1402819440000.0,7.0,600000.0
1402820040000.0,4.0,600000.0
1402820760000.0,5.0,720000.0
1402821540000.0,2.0,780000.0
1402822140000.0,0.0,600000.0
1402823040000.0,0.0,900000.0
1402823640000.0,5.0,600000.0
1402824360000.0,6.0,720000.0
1402825140000.0,7.0,780000.0
1402826100000.0,3.0,960000.0
1402826700000.0,7.0,600000.0
1402827300000.0,8.0,600000.0
1402827900000.0,6.0,600000.0
1402828500000.0,1.0,600000.0
1402829220000.0,6.0,720000.0
1402830000000.0,9.0,780000.0
1402830720000.0,7.0,720000.0
1402831560000.0,10.0,840000.0
1402832160000.0,9.0,600000.0
1402832760000.0,9.0,600000.0
1402833360000.0,5.0,600000.0
1402834380000.0,6.0,1020000.0
1402834980000.0,6.0,600000.0
1402836060000.0,9.0,1080000.0
1402836840000.0,9.0,780000.0
1402837620000.0,7.0,780000.0
1402838640000.0,8.0,1020000.0
1402839300000.0,7.0,660000.0
1402840380000.0,8.0,1080000.0
1402841160000.0,9.0,780000.0
1402841760000.0,8.0,600000.0
1402842360000.0,5.0,600000.0
1402843080000.0,7.0,720000.0
1402843920000.0,8.0,840000.0
1402844640000.0,7.0,720000.0
1402845720000.0,7.0,1080000.0
1402846320000.0,4.0,600000.0
1402847400000.0,4.0,1080000.0
1402848060000.0,5.0,660000.0
1402848660000.0,9.0,600000.0
1402849500000.0,7.0,840000.0
1402850100000.0,2.0,600000.0
1402850700000.0,6.0,600000.0
1402851300000.0,6.0,600000.0
1402851900000.0,5.0,600000.0
1402852500000.0,5.0,600000.0
1402853160000.0,1.0,660000.0
1402853880000.0,7.0,720000.0
1402854960000.0,5.0,1080000.0
1402855800000.0,5.0,840000.0
1402857240000.0,6.0,1440000.0
1402857840000.0,9.0,600000.0
1402858560000.0,7.0,720000.0
1402859220000.0,9.0,660000.0
1402860060000.0,7.0,840000.0
1402860660000.0,7.0,600000.0
1402861380000.0,5.0,720000.0
1402862040000.0,8.0,660000.0
1402862640000.0,7.0,600000.0
1402863240000.0,5.0,600000.0
1402864020000.0,7.0,780000.0
1402864980000.0,8.0,960000.0
1402865880000.0,7.0,900000.0
1402866780000.0,6.0,900000.0
1402867620000.0,8.0,840000.0
1402868460000.0,8.0,840000.0
1402869360000.0,4.0,900000.0
1402870260000.0,5.0,900000.0
1402871220000.0,2.0,960000.0
1402871820000.0,9.0,600000.0
1402872420000.0,9.0,600000.0
1402873080000.0,10.0,660000.0
1402873680000.0,8.0,600000.0
1402874280000.0,5.0,600000.0
1402875060000.0,9.0,780000.0
1402875660000.0,9.0,600000.0
1402876260000.0,8.0,600000.0
1402876860000.0,9.0,600000.0
1402877460000.0,9.0,600000.0
1402878180000.0,7.0,720000.0
